game_id,competition_id_x,season,round,date_x,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,home_club_name,away_club_name,aggregate,competition_type,game_event_id,minute,type_y,player_id_y,description,player_in_id,player_assist_id,appearance_id,player_id,date,yellow_cards,red_cards,goals,assists,minutes_played,name,last_season,current_club_id,player_code,country_of_birth,date_of_birth,sub_position,position_y,foot,height_in_cm,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,agent_name
2332050,GB1,2013,14. Matchday,2013-12-04,3,4,20.0,2.0,Gustavo Poyet,Jose Mourinho,Stadium of Light,40652.0,Phil Dowd,Sunderland AFC,Chelsea Football Club,03:04:00,domestic_league,cd4b92e425fac0b8ecff924b12c09f3f,14.0,Goals,39378.0,", Left-footed shot, 1. Goal of the Season Assist: , Pass, 2. Assist of the Season",152762.01347708894,61644.0,2332050_39378,39378,2013-12-04,1,0,1,0,90,Jozy Altidore,2014,289,jozy-altidore,United States,1989-11-06,Centre-Forward,Attack,right,185.0,500000.0,9000000.0,2024-12-31,Wasserman
2332184,GB1,2013,29. Matchday,2014-03-25,0,3,8.0,6.0,Alan Pardew,Roberto Martínez,St James' Park,47622.0,Lee Mason,Newcastle United Football Club,Everton Football Club,00:03:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2332184_4267,4267,2014-03-25,0,0,0,0,90,Tim Howard,2015,29,tim-howard,United States,1979-03-06,Goalkeeper,Goalkeeper,right,191.0,4489216.076402706,10000000.0,2024-06-30,Wasserman
2332234,GB1,2013,23. Matchday,2014-01-29,4,3,10.0,15.0,Paul Lambert,Pepe Mel,Villa Park,36083.0,Mark Clattenburg,Aston Villa Football Club,West Bromwich Albion,04:03:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2332234_39471,39471,2014-01-29,0,0,0,0,90,Brad Guzan,2016,641,brad-guzan,United States,1984-09-09,Goalkeeper,Goalkeeper,left,193.0,100000.0,5000000.0,2023-12-31,YMU Group
2332259,GB1,2013,37. Matchday,2014-05-03,2,3,5.0,1.0,Roberto Martínez,Manuel Pellegrini,Goodison Park,39454.0,Lee Probert,Everton Football Club,Manchester City Football Club,02:03:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2332259_4267,4267,2014-05-03,0,0,0,0,90,Tim Howard,2015,29,tim-howard,United States,1979-03-06,Goalkeeper,Goalkeeper,right,191.0,4489216.076402706,10000000.0,2024-06-30,Wasserman
2332288,GB1,2013,35. Matchday,2014-04-19,0,0,15.0,8.0,Paul Lambert,Mauricio Pochettino,Villa Park,35134.0,Lee Mason,Aston Villa Football Club,Southampton FC,00:00:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2332288_39471,39471,2014-04-19,0,0,0,0,90,Brad Guzan,2016,641,brad-guzan,United States,1984-09-09,Goalkeeper,Goalkeeper,left,193.0,100000.0,5000000.0,2023-12-31,YMU Group
2342394,NL1,2013,17. Matchday,2013-12-15,2,0,11.0,7.0,Jan de Jonge,Dick Advocaat,Erve Asito,8254.0,Serdar Gaza,Heracles Almelo,Alkmaar Zaanstreek,02:00:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2342394_119169,119169,2013-12-15,0,0,0,0,90,Aron Johannsson,2018,86,aron-johannsson,United States,1990-11-10,Centre-Forward,Attack,right,184.0,400000.0,4000000.0,2024-12-31,CAA Stellar
2342439,NL1,2013,22. Matchday,2014-02-04,0,2,3.0,6.0,Peter Bosz,Dick Advocaat,GelreDome,18000.0,Reinold Wiedemeijer,Stichting Betaald Voetbal Vitesse Arnhem,Alkmaar Zaanstreek,00:02:00,domestic_league,319383887912795462c2d8807807c025,42.0,Goals,119169.0,", Left-footed shot, 13. Goal of the Season Assist:",152762.01347708894,53307.31724137931,2342439_119169,119169,2014-02-04,0,0,1,0,45,Aron Johannsson,2018,86,aron-johannsson,United States,1990-11-10,Centre-Forward,Attack,right,184.0,400000.0,4000000.0,2024-12-31,CAA Stellar
2342439,NL1,2013,22. Matchday,2014-02-04,0,2,3.0,6.0,Peter Bosz,Dick Advocaat,GelreDome,18000.0,Reinold Wiedemeijer,Stichting Betaald Voetbal Vitesse Arnhem,Alkmaar Zaanstreek,00:02:00,domestic_league,e898a18ac3e570bfb98a8a489140ef93,46.0,Substitutions,119169.0,", Not reported",41511.0,53307.31724137931,2342439_119169,119169,2014-02-04,0,0,1,0,45,Aron Johannsson,2018,86,aron-johannsson,United States,1990-11-10,Centre-Forward,Attack,right,184.0,400000.0,4000000.0,2024-12-31,CAA Stellar
2342472,NL1,2013,30. Matchday,2014-03-30,0,0,11.0,7.0,Dwight Lodeweges,Dick Advocaat,Cambuurstadion,9804.0,Ed Janssen,SC Cambuur Leeuwarden,Alkmaar Zaanstreek,00:00:00,domestic_league,f30cc9b901f82261a4e6a04c4a6e2a18,90.0,Substitutions,119169.0,Tactical,152762.01347708894,53307.31724137931,2342472_119169,119169,2014-03-30,0,0,0,0,7,Aron Johannsson,2018,86,aron-johannsson,United States,1990-11-10,Centre-Forward,Attack,right,184.0,400000.0,4000000.0,2024-12-31,CAA Stellar
2342495,NL1,2013,27. Matchday,2014-03-08,4,0,7.0,13.0,Dick Advocaat,Jan de Jonge,AFAS Stadion,15216.0,Jeroen Sanders,Alkmaar Zaanstreek,Heracles Almelo,04:00:00,domestic_league,c684cba4cf0cb0f2b945bf51dfd9cbb9,16.0,Goals,119169.0,", Right-footed shot, 15. Goal of the Season Assist: , Pass, 1. Assist of the Season",152762.01347708894,132014.0,2342495_119169,119169,2014-03-08,0,0,2,0,90,Aron Johannsson,2018,86,aron-johannsson,United States,1990-11-10,Centre-Forward,Attack,right,184.0,400000.0,4000000.0,2024-12-31,CAA Stellar
